episode_id,date,start,end,n_obs,length_hours
398,2025-07-20,2025-07-20 00:00:00+02:00,2025-07-20 03:15:00+02:00,40,3.3333333333333335
399,2025-07-20,2025-07-20 04:50:00+02:00,2025-07-20 06:55:00+02:00,26,2.1666666666666665
400,2025-07-20,2025-07-20 07:10:00+02:00,2025-07-20 23:55:00+02:00,202,16.833333333333332
401,2025-07-21,2025-07-21 06:10:00+02:00,2025-07-21 08:05:00+02:00,24,2.0
402,2025-07-21,2025-07-21 08:20:00+02:00,2025-07-21 23:00:00+02:00,177,14.75
403,2025-07-22,2025-07-22 04:55:00+02:00,2025-07-22 23:55:00+02:00,229,19.083333333333332
404,2025-07-23,2025-07-23 00:10:00+02:00,2025-07-23 02:50:00+02:00,33,2.75
405,2025-07-23,2025-07-23 06:10:00+02:00,2025-07-23 09:05:00+02:00,36,3.0
406,2025-07-23,2025-07-23 13:10:00+02:00,2025-07-23 23:55:00+02:00,130,10.833333333333334
407,2025-07-24,2025-07-24 00:00:00+02:00,2025-07-24 02:50:00+02:00,35,2.9166666666666665
408,2025-07-24,2025-07-24 05:10:00+02:00,2025-07-24 23:55:00+02:00,226,18.833333333333332
409,2025-07-25,2025-07-25 04:55:00+02:00,2025-07-25 14:00:00+02:00,110,9.166666666666666
410,2025-07-25,2025-07-25 14:10:00+02:00,2025-07-25 23:55:00+02:00,118,9.833333333333334
411,2025-07-26,2025-07-26 00:00:00+02:00,2025-07-26 02:40:00+02:00,33,2.75
412,2025-07-26,2025-07-26 05:10:00+02:00,2025-07-26 07:55:00+02:00,34,2.8333333333333335
413,2025-07-26,2025-07-26 09:05:00+02:00,2025-07-26 23:55:00+02:00,179,14.916666666666666
414,2025-07-27,2025-07-27 00:00:00+02:00,2025-07-27 03:20:00+02:00,41,3.4166666666666665
415,2025-07-27,2025-07-27 07:10:00+02:00,2025-07-27 16:55:00+02:00,118,9.833333333333334
416,2025-07-27,2025-07-27 17:10:00+02:00,2025-07-27 20:55:00+02:00,46,3.8333333333333335
417,2025-07-28,2025-07-28 00:10:00+02:00,2025-07-28 02:40:00+02:00,31,2.5833333333333335
418,2025-07-28,2025-07-28 04:55:00+02:00,2025-07-28 21:00:00+02:00,194,16.166666666666668
419,2025-07-28,2025-07-28 21:10:00+02:00,2025-07-28 23:55:00+02:00,34,2.8333333333333335
420,2025-07-29,2025-07-29 00:00:00+02:00,2025-07-29 03:15:00+02:00,40,3.3333333333333335
421,2025-07-29,2025-07-29 04:55:00+02:00,2025-07-29 10:00:00+02:00,62,5.166666666666667
422,2025-07-29,2025-07-29 11:05:00+02:00,2025-07-29 23:55:00+02:00,155,12.916666666666666
423,2025-07-30,2025-07-30 00:00:00+02:00,2025-07-30 02:30:00+02:00,31,2.5833333333333335
424,2025-07-30,2025-07-30 04:55:00+02:00,2025-07-30 15:55:00+02:00,133,11.083333333333334
425,2025-07-30,2025-07-30 16:05:00+02:00,2025-07-30 23:55:00+02:00,95,7.916666666666667
426,2025-07-31,2025-07-31 05:00:00+02:00,2025-07-31 13:00:00+02:00,97,8.083333333333334
427,2025-07-31,2025-07-31 13:10:00+02:00,2025-07-31 21:55:00+02:00,106,8.833333333333334
428,2025-08-01,2025-08-01 00:00:00+02:00,2025-08-01 02:50:00+02:00,35,2.9166666666666665
429,2025-08-01,2025-08-01 06:10:00+02:00,2025-08-01 17:00:00+02:00,131,10.916666666666666
430,2025-08-01,2025-08-01 18:05:00+02:00,2025-08-01 22:10:00+02:00,50,4.166666666666667
