station,adf_stat,p_value
Hauptbahnhof_tief,-7.149849308654109,3.1619535136225725e-10
Karlsplatz_Stachus,-6.276203536094053,3.8951193497587574e-08
Marienplatz,-6.517321655041209,1.0633226851849578e-08
Isartor,-6.75658848489704,2.861474530947836e-09
Rosenheimer_Platz,-5.37147785230924,3.887148973278473e-06
Ostbahnhof,-5.550805555417587,1.6214933755760405e-06
Leuchtenbergring,-4.202081976935497,0.0006535736464572703
Pasing,-9.814641566921974,5.539216466873838e-17
Laim,-5.576141772006566,1.4307141630236663e-06
Hirschgarten,-12.343399301297326,6.047355099703455e-23
Donnersbergerbruecke,-8.632761183116859,5.696592731323192e-14
Hackerbruecke,-12.159699389367528,1.5035107855320427e-22
Hauptbahnhof_tief,-6.323830289227344,3.02030009227353e-08
Karlsplatz_Stachus,-4.919813565365994,3.190615941573072e-05
Marienplatz,-3.5277096476528964,0.007303324831984304
Isartor,-10.039366238812855,1.5105601644548126e-17
Rosenheimer_Platz,-6.925300193429026,1.119325898323809e-09
Ostbahnhof,-5.263983688807256,6.499036891215682e-06
Leuchtenbergring,-3.207796689495912,0.019537788711729648
Pasing,-8.538595573354533,9.923515810168146e-14
Laim,-13.456684935979528,3.59583310964466e-25
Hirschgarten,-4.659375995974158,0.00010025187858109613
Donnersbergerbruecke,-4.260363822837564,0.0005199059178237678
Hackerbruecke,-4.606952178841304,0.00012541161872555185
Hauptbahnhof_tief,-5.047016935440784,1.7898393986898113e-05
Karlsplatz_Stachus,-6.32022153960617,3.07919137883766e-08
Marienplatz,-11.66995114920823,1.8450610603917086e-21
Isartor,-6.021667718045765,1.488675044890413e-07
Rosenheimer_Platz,-2.7144571411934613,0.07156978930286771
Ostbahnhof,-6.338746157067631,2.7884223351361888e-08
Leuchtenbergring,-4.448874889052599,0.00024297865359316007
Pasing,-6.890482424113808,1.3596898065686462e-09
Laim,-13.132677110449169,1.4836691643983245e-24
Hirschgarten,-3.6940290743214623,0.004197928754175494
Donnersbergerbruecke,-12.177993381534716,1.372105853451201e-22
Hackerbruecke,-3.26407759356655,0.016562582260103112
Hauptbahnhof_tief,-8.032809498612828,1.9378903706899085e-12
Karlsplatz_Stachus,-5.731605658166995,6.580618018549268e-07
Marienplatz,-3.8757841737311263,0.0022204693701322414
Isartor,-3.741510935692948,0.0035657392318722606
Rosenheimer_Platz,-4.116061231291031,0.0009109838684663637
Ostbahnhof,-2.8197379624583316,0.05550918418798878
Leuchtenbergring,-3.160525422640043,0.02238637498448458
Pasing,-3.1242278121250244,0.02481140639884793
Laim,-14.390075574370918,8.854963998607387e-27
Hirschgarten,-12.33165678345613,6.406600021564948e-23
Donnersbergerbruecke,-12.364527538574622,5.451911036595023e-23
Hackerbruecke,-7.9340752546376185,3.4509193765294744e-12
Hauptbahnhof_tief,-10.488174184058193,1.1655744505585754e-18
Karlsplatz_Stachus,-8.000921391228617,2.3352327836294752e-12
Marienplatz,-9.825211072814934,5.209734621768956e-17
Isartor,-6.585649890284652,7.3263134870556355e-09
Rosenheimer_Platz,-3.8016922794586576,0.0028900481402998274
Ostbahnhof,-3.735698613525275,0.0036381392595834497
Leuchtenbergring,-4.14202706691896,0.0008246857110072537
Pasing,-5.304403803478327,5.361804926261461e-06
Laim,-7.824204927197266,6.547463171164791e-12
Hirschgarten,-6.6358278236137345,5.566098789940953e-09
Donnersbergerbruecke,-6.233579876049055,4.886443073556287e-08
Hackerbruecke,-6.574705341621504,7.777771299672117e-09
Hauptbahnhof_tief,-6.998078955273715,7.443696830752899e-10
Karlsplatz_Stachus,-6.203449406357676,5.732893926732564e-08
Marienplatz,-5.521668767153251,1.8716176387536525e-06
Isartor,-5.715191391844081,7.147831743120694e-07
Rosenheimer_Platz,-6.304818071768835,3.343522326099092e-08
Ostbahnhof,-7.018987958105813,6.618340027752685e-10
Leuchtenbergring,-11.683630114952276,1.7177310768857416e-21
Pasing,-4.792665989357391,5.6170353142342957e-05
Laim,-12.29363577433922,7.726556649350979e-23
Hirschgarten,-8.812103779117447,1.9785773772337053e-14
Donnersbergerbruecke,-7.870594950698897,4.997313987129492e-12
Hackerbruecke,-8.04590914362839,1.7948882172413621e-12
Hauptbahnhof_tief,-7.399724037832265,7.611266337898544e-11
Karlsplatz_Stachus,-6.931303170686922,1.082361824757058e-09
Marienplatz,-8.344066271237853,3.1196339625300103e-13
Isartor,-8.101998267764175,1.2923705304508462e-12
Rosenheimer_Platz,-2.601751280781792,0.09263585325797175
Ostbahnhof,-3.8209232589343416,0.0027003526065993455
Leuchtenbergring,-1.7889514641664948,0.3859606170027431
Pasing,-4.527748889231071,0.0001751422745301481
Laim,-9.434807157492514,5.076023808462667e-16
Hirschgarten,-11.491223357490888,4.731122316430148e-21
Donnersbergerbruecke,-11.541463933544357,3.6259130944608455e-21
Hackerbruecke,-8.481420948337357,1.3898183899123906e-13
Hauptbahnhof_tief,-8.238120500178173,5.815142830275163e-13
