station,adf_stat,p_value
Donnersbergerbruecke,-3.1427352962734942,0.02354802433551041
Hackerbruecke,-5.069309605013308,1.6154045204698137e-05
Hauptbahnhof_tief,-4.677321711528797,9.280688173059539e-05
Karlsplatz_Stachus,-3.2636794190936196,0.01658215089330881
Marienplatz,-4.538632141743077,0.00016733774102999435
Isartor,-2.581848227389046,0.09680720289429806
Rosenheimer_Platz,-3.685535460619981,0.004321272758353727
Ostbahnhof,-4.3452220195292055,0.0003705850583580058
Leuchtenbergring,-2.9287186940489867,0.04210888020289077
Pasing,-4.223648319248817,0.0006007297269381564
Laim,-3.6101039143337283,0.005570774770437388
Hirschgarten,-4.5464295279285105,0.00016195100423509583
Donnersbergerbruecke,-2.5644359436721436,0.10057263686048529
Hackerbruecke,-4.753493825332396,6.66932941527785e-05
Hauptbahnhof_tief,-7.6296005096001736,2.0253520751970596e-11
Karlsplatz_Stachus,-4.026558753528923,0.0012776519259749975
Marienplatz,-8.791577434649321,2.2331510276512617e-14
Isartor,-5.443362423163904,2.7447289514756783e-06
Rosenheimer_Platz,-4.3148405096514235,0.0004186481247642975
Ostbahnhof,-3.471641320514741,0.008745983441219136
Leuchtenbergring,-4.059129126028216,0.0011306549227867641
Pasing,-6.121138283645267,8.849626618687412e-08
Laim,-3.540388944964533,0.007008423445252196
Hirschgarten,-2.101194196313401,0.2440346803818606
Donnersbergerbruecke,-3.611123356542409,0.005551899383632364
Hackerbruecke,-5.706544446013542,7.465563344225123e-07
Hauptbahnhof_tief,-8.092410735362634,1.3670437523784768e-12
Karlsplatz_Stachus,-5.07568771053063,1.5685965900174e-05
Marienplatz,-4.8259333804008735,4.850237170685418e-05
Isartor,-11.378701914280676,8.617325295648807e-21
Rosenheimer_Platz,-4.945408281066327,2.8430202476772945e-05
Ostbahnhof,-3.0524537021803058,0.030277836965845174
Leuchtenbergring,-7.690861121421427,1.4205241591594103e-11
Pasing,-10.76683974547738,2.4403624656461652e-19
Laim,-4.14970108831636,0.0008006872117032343
Hirschgarten,-13.716463133390485,1.2102903817296763e-25
Donnersbergerbruecke,-8.324219058370614,3.5058940532926057e-13
Hackerbruecke,-11.131888635566316,3.2665987924445876e-20
Hauptbahnhof_tief,-12.40297410532063,4.517410986103307e-23
Karlsplatz_Stachus,-12.013159566110863,3.1464525404929405e-22
Marienplatz,-10.908697382404972,1.1110841661258369e-19
Isartor,-8.207446915442542,6.962813546171196e-13
