stop_id,stop_name,stop_lat,stop_lon,n_rows,n_trips
8004156,München-Neuaubing,48.14170600005157,11.42219700000652,669890,48905
8006696,München-Neuperlach Süd,48.08868500001569,11.645175000004706,487784,41606
8004157,München-Obermenzing,48.1642229999705,11.478116999994656,656838,53506
8004158,München-Pasing,48.149852000139326,11.461871999949253,2530736,212996
8004159,München-Perlach,48.09342600000857,11.631208000005412,526861,41113
8004160,München-Riem,48.143982999967314,11.67804899998946,558617,40893
8004161,München-Solln,48.07992099999051,11.526954000000828,367476,41964
8004162,München-Trudering,48.126066000093076,11.663375000003382,897461,71728
8004139,München-Untermenzing,48.1776729999474,11.472792000005942,653020,53580
8004163,München-Westkreuz,48.14902599995542,11.443939999986307,1312848,90824
8004252,Neubiberg,48.07591099994919,11.660024999992512,549463,41861
8004279,Neufahrn(b Freising),48.32130999995685,11.66068099998456,1021745,75762
8004249,Neugilching,48.09896599999048,11.288666000005266,531990,42823
8004404,Niederroth,48.32093499999493,11.390041000003714,172228,22119
8004580,Oberschleißheim,48.257225999979326,11.55782999998673,1037429,75822
8004667,Olching,48.20999500002485,11.335602000005798,611268,49608
8004723,Ottenhofen(Oberbay),48.21813399997627,11.879384999989362,473962,35511
8004726,Otterfing,47.91095900000072,11.68228200000543,341958,34567
8004733,Ottobrunn,48.06369500001664,11.677824000010158,554786,41861
8004761,Peiß,47.960102000001235,11.776595000002256,129742,12361
8004775,Petershausen(Obb),48.41344999999327,11.469880999997777,187729,35750
8004827,Planegg,48.10530300003532,11.413555999993177,611158,41303
8004854,Poing,48.17132900002424,11.809438000004631,524478,40266
8004874,Possenhofen,47.96195999998672,11.306474999992773,549324,39601
8004893,Puchheim,48.1721789999872,11.35306100000157,552862,40264
8004899,Pullach,48.05897999997678,11.521848000003116,370486,42346
8004900,Pulling(b Freising),48.3633900000314,11.707083999995005,483292,37803
8005127,Röhrmoos,48.333317999977474,11.444770000001268,428312,35871
8005299,Sauerlach,47.973623000025505,11.655206999992997,345130,34554
8005442,Schwabhausen(b Dachau),48.300182000008164,11.364495999996606,177280,22041
8005406,Schöngeising,48.14736999995852,11.19205100000739,443016,34958
8005504,Seefeld-Hechendorf,48.04137000003054,11.198729999997063,522300,39225
8005652,St Koloman,48.24374699995874,11.882964999997336,338676,29956
8005676,Starnberg,47.995933999947646,11.343470000000233,582361,40680
8005675,Starnberg Nord,48.005975000051194,11.34738599998924,555868,40652
8005699,Steinebach,48.061184000021775,11.206812000007714,501188,38443
8005735,Stockdorf,48.09325799998104,11.400845000011564,618308,41303
8005831,Taufkirchen,48.051551999990565,11.60925199999543,484596,46262
8005927,Tutzing,47.90714200001611,11.272889999994876,215169,39533
8005920,Türkenfeld,48.10458600002855,11.076454000007157,396174,31384
8005986,Unterföhring,48.19030999997889,11.646772000005214,580056,46201
8005991,Unterhaching,48.06466499996629,11.612354999992817,502574,46262
8006688,Unterschleißheim,48.27369999988147,11.56862800000066,1056306,76116
8006059,Vaterstetten,48.104108999957425,11.764379999983156,736598,52063
8001922,Vierkirchen-Esterhofen,48.36111800000071,11.44510800000983,446664,35804
8006359,Weßling(Oberbay),48.077374000053794,11.251768000000835,515558,42308
8006550,Wolfratshausen,47.91424000000002,11.426988999999605,131578,38883
8006131,Wächterhof,48.033567000013356,11.712731000001055,570824,41681
8006671,Zorneding,48.08939500002144,11.83300400000761,689382,51931
