code_a,code_b,lift,gemeinsame_fenster
25,68,2.5565496450452208,5
41,49,2.5545259126362465,41
21,51,2.553450707506771,37
51,54,2.553087485500013,18
15,36,2.542583526900925,30
24,44,2.5290575499123658,8
47,49,2.5247054078192974,10
51,57,2.5227224509643786,115
37,57,2.517560870502047,6
23,26,2.516576789304062,6
36,58,2.5152902574031186,119
6,57,2.511405464950697,24
28,33,2.50450936805335,24
6,58,2.4901223677900983,4
23,68,2.472035607192486,9
25,32,2.458639233107318,90
15,31,2.457116820300726,14
51,67,2.4546803666575285,94
21,42,2.452013134692782,90
37,40,2.4352941176470586,6
35,67,2.4260797342192695,4
3,25,2.4210960914085917,59
26,34,2.41950481950482,28
40,51,2.419067145053819,114
2,14,2.4080553146988968,81
45,54,2.404785703130229,82
13,47,2.400109556524319,12
35,45,2.3880276146066732,18
25,58,2.3782720911050212,17
28,51,2.365227324776165,33
3,54,2.358462918660287,12
24,34,2.3558336400441666,7
10,67,2.3547244479187017,11
17,38,2.349643224456729,35
51,62,2.343413634033829,3
2,17,2.337903245845425,17
17,45,2.325034080408416,28
44,63,2.310196800400719,25
3,8,2.302156309239265,34
2,50,2.2938956553353935,15
13,31,2.289016295720783,39
41,54,2.2803816683533324,57
57,68,2.272488573373529,6
14,41,2.269742251549195,96
62,64,2.2652641207409103,13
45,62,2.2611275964391693,14
44,50,2.258448392071743,47
22,36,2.2541057402024633,55
49,55,2.253844222490309,14
15,25,2.243806678758135,4
44,68,2.232508766404943,42
31,63,2.2249057801404373,8
3,57,2.2189581252081254,73
14,67,2.2185612499547904,28
15,44,2.2159946007727283,38
28,54,2.207922732362822,6
45,58,2.185652393029837,81
14,42,2.1840585630011087,66
3,51,2.181971075439169,57
7,13,2.1815692294925526,26
51,55,2.1744637530594066,108
12,48,2.170469673983715,2
38,54,2.1609651068838125,88
17,61,2.1553218963290908,6
10,55,2.1456164086852523,13
19,34,2.1314685314685313,9
25,40,2.1154945054945054,93
32,47,2.097117002580114,72
55,68,2.0857319479935605,6
35,36,2.0784611370698043,20
6,61,2.0753975717300905,17
17,44,2.0741910841007893,48
26,48,2.0678123245385396,47
26,67,2.065446260213702,3
25,35,2.0635007849293565,3
