code_a,code_b,anteil_b_folgt_a,n_a
44,42,0.1283655889056283,25887
47,38,0.12823397075365578,2667
58,23,0.12779552715654952,626
5,64,0.12778152393796358,5932
68,41,0.12745098039215685,102
69,55,0.12698412698412698,126
69,64,0.12698412698412698,126
55,41,0.12637510061711832,3727
33,31,0.12586666666666665,1875
10,33,0.12465373961218837,361
41,64,0.12403100775193798,9804
48,64,0.12386851875026071,47946
61,55,0.12384473197781885,2705
49,51,0.12337662337662338,308
17,36,0.12290502793296089,179
2,64,0.1228325612177366,7555
14,42,0.12268041237113401,970
22,2,0.1225071225071225,351
21,38,0.12215669755686605,1187
32,38,0.12189308818522301,2937
26,51,0.12149532710280374,107
26,14,0.12149532710280374,107
47,64,0.12148481439820022,2667
45,42,0.12126117249630516,14209
50,55,0.1206896551724138,116
49,67,0.12012987012987013,308
42,64,0.12009267602007981,7769
62,17,0.11956521739130435,92
62,40,0.11956521739130435,92
62,5,0.11956521739130435,92
62,41,0.11956521739130435,92
25,23,0.11954593827598439,2819
6,41,0.11917098445595854,579
6,5,0.11917098445595854,579
10,28,0.11911357340720222,361
64,38,0.11898466419883659,11346
7,23,0.1187450357426529,5036
55,23,0.11859404346659512,3727
8,2,0.11848341232227488,1477
58,41,0.1182108626198083,626
5,2,0.11783546864463924,5932
68,5,0.11764705882352941,102
68,34,0.11764705882352941,102
68,55,0.11764705882352941,102
68,31,0.11764705882352941,102
60,38,0.11764705882352941,170
68,10,0.11764705882352941,102
14,2,0.11752577319587629,970
55,42,0.11671585725784814,3727
44,64,0.11669950168038011,25887
36,64,0.11663280116110304,17225
10,2,0.11634349030470914,361
3,38,0.11531741409435062,1717
23,42,0.1141747572815534,5150
25,41,0.11387016672578928,2819
63,33,0.11363636363636363,88
33,64,0.1136,1875
58,64,0.1134185303514377,626
32,64,0.11338100102145046,2937
26,31,0.11214953271028037,107
67,64,0.11210023079459282,3033
58,2,0.11182108626198083,626
51,38,0.11164548265200962,2911
5,42,0.11109238031018207,5932
45,64,0.1109156168625519,14209
6,57,0.11053540587219343,579
67,42,0.11045169798878998,3033
35,61,0.11009174311926606,109
55,57,0.10973973705393078,3727
47,42,0.10911136107986502,2667
51,42,0.10889728615596016,2911
62,31,0.10869565217391304,92
62,7,0.10869565217391304,92
62,61,0.10869565217391304,92
25,5,0.10854913089748137,2819
8,23,0.1083276912660799,1477
10,5,0.10803324099722991,361
10,31,0.10803324099722991,361
68,25,0.10784313725490197,102
57,2,0.10613409415121255,3505
36,41,0.10600870827285921,17225
60,3,0.10588235294117647,170
64,41,0.10558787237793055,11346
40,64,0.10549515133705555,3403
22,31,0.10541310541310542,351
40,42,0.1052012929767852,3403
54,2,0.10433070866141732,508
33,57,0.104,1875
15,23,0.10362694300518134,193
33,45,0.10346666666666667,1875
50,7,0.10344827586206896,116
57,42,0.10299572039942939,3505
26,47,0.102803738317757,107
51,31,0.10202679491583648,2911
43,64,0.10170768815140269,70329
47,41,0.10123734533183353,2667
35,41,0.10091743119266056,109
48,42,0.10088432820256121,47946
49,34,0.10064935064935066,308
13,5,0.10052910052910052,378
36,55,0.10026124818577649,17225
2,7,0.100066181336863,7555
14,38,0.1,970
10,32,0.0997229916897507,361
45,5,0.0988809909212471,14209
36,42,0.09875181422351234,17225
38,41,0.09857059698596468,15461
7,67,0.09849086576648133,5036
55,5,0.09847061980144889,3727
15,14,0.09844559585492228,193
6,67,0.09844559585492228,579
